order_id,customer_id,product_id,amount,payment_mode,order_time,status
6381,179,4,831.94,Card,2026-05-07 2:00:00,COMPLETED
6382,845,5,2624.39,Cash,2026-05-07 12:00:00,CANCELLED
6383,669,18,3477.96,Cash,2026-05-01 14:00:00,PENDING
6384,127,1,2471.59,Transfer,2026-05-01 1:00:00,CANCELLED
6385,569,16,726.01,Transfer,2026-05-06 20:00:00,PENDING
6386,423,14,4279.78,Cash,2026-05-05 13:00:00,COMPLETED
6387,8,19,2625.49,Card,2026-05-05 7:00:00,PENDING
6388,660,13,3855.81,Transfer,2026-05-03 3:00:00,CANCELLED
6389,303,10,1975.07,Card,2026-05-03 18:00:00,PENDING
6390,361,8,3193.54,Card,2026-05-01 6:00:00,CANCELLED
6391,675,9,4699.86,Transfer,2026-05-03 8:00:00,COMPLETED
6392,597,15,4595.88,Cash,2026-05-06 8:00:00,CANCELLED
6393,953,15,4288.87,Transfer,2026-05-07 4:00:00,PENDING
6394,568,11,4659.27,Cash,2026-05-03 4:00:00,CANCELLED
6395,484,6,2321.83,Card,2026-05-04 2:00:00,PENDING
6396,916,3,519.79,Cash,2026-05-06 8:00:00,PENDING
6397,777,20,2967.14,Transfer,2026-05-01 23:00:00,CANCELLED
6398,992,13,4875.13,Card,2026-05-01 19:00:00,PENDING
6399,960,6,1467.12,Transfer,2026-05-07 10:00:00,CANCELLED
6400,356,5,1650.9,Cash,2026-05-06 8:00:00,CANCELLED
6401,747,15,3512.61,Card,2026-05-05 3:00:00,COMPLETED
6402,822,9,3866.82,Cash,2026-05-07 13:00:00,COMPLETED
6403,485,20,1877.97,Card,2026-05-01 12:00:00,COMPLETED
6404,788,7,4128.08,Card,2026-05-01 12:00:00,COMPLETED
6405,988,6,1688.66,Card,2026-05-03 21:00:00,CANCELLED
6406,747,19,1289.99,Card,2026-05-04 17:00:00,COMPLETED
6407,919,20,3752.14,Card,2026-05-06 1:00:00,CANCELLED
6408,748,9,3714.36,Transfer,2026-05-04 7:00:00,CANCELLED
6409,613,17,2248.12,Card,2026-05-06 22:00:00,COMPLETED
6410,550,14,4184.32,Transfer,2026-05-07 21:00:00,PENDING
6411,934,10,2962.57,Transfer,2026-05-03 16:00:00,PENDING
6412,77,6,2191.62,Card,2026-05-05 22:00:00,COMPLETED
6413,675,20,4812.02,Cash,2026-05-06 5:00:00,PENDING
6414,989,16,1446.81,Cash,2026-05-04 4:00:00,CANCELLED
6415,20,4,3853.8,Card,2026-05-01 3:00:00,CANCELLED
6416,493,3,2623.94,Cash,2026-05-01 21:00:00,CANCELLED
